"COFFEE ROBUSTA: AREA PLANTED IN HECTARES, BY REGION/PROVINCE, MINDANAO, 1990-2009",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
REGION/PROVINCE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,"  97,231.96 ","  98,622.50 ","  98,352.24 ","  97,735.00 ","  97,981.50 ","  97,314.11 ","  95,247.10 ","  93,608.15 ","  92,403.00 ","  94,312.00 ","  96,716.00 ","  95,803.49 ","  94,073.65 ","  94,036.65 ","  94,699.58 ","  93,279.89 ","  92,186.44 ","  91,591.95 ","  91,147.90 ","  91,180.87 "
,,,,,,,,,,,,,,,,,,,,
Region IX (Zamboanga Peninsula),  543.00 ,  566.00 ,  573.00 ,  585.00 ,  582.09 ,  464.00 ,  465.95 ,  482.00 ,  472.00 ,  452.00 ,  441.00 ,  437.00 ,  532.58 ,  532.58 ,  646.58 ,  623.89 ,  625.44 ,  625.00 ,  617.00 ,  593.00 
Zamboanga del Norte,  91.00 ,  108.00 ,  114.00 ,  123.00 ,  128.00 ,  136.00 ,  143.00 ,  153.00 ,  153.00 ,  160.00 ,  160.00 ,  163.00 ,  233.00 ,  233.00 ,  367.00 ,  369.00 ,  385.00 ,  400.00 ,  410.00 ,  415.00 
Zamboanga del Sur,  156.00 ,  159.00 ,  157.00 ,  157.00 ,  158.00 ,  158.00 ,  153.00 ,  154.00 ,  153.00 ,  152.00 ,  143.00 ,  136.00 ,  135.00 ,  135.00 ,  127.00 ,  123.00 ,  118.00 ,  105.00 ,  87.00 ,  62.00 
Zamboanga Sibugay,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  53.00 ,  53.00 ,  84.58 ,  84.58 ,  84.58 ,  89.89 ,  84.44 ,  82.00 ,  82.00 ,  82.00 
City of Zamboanga,  296.00 ,  299.00 ,  302.00 ,  305.00 ,  296.09 ,  170.00 ,  169.95 ,  175.00 ,  166.00 ,  140.00 ,  85.00 ,  85.00 ,  80.00 ,  80.00 ,  68.00 ,  42.00 ,  38.00 ,  38.00 ,  38.00 ,  34.00 
,,,,,,,,,,,,,,,,,,,,
Region X (Northern Mindanao),"  14,362.50 ","  14,290.50 ","  14,141.50 ","  14,028.00 ","  13,440.50 ","  12,994.70 ","  12,499.15 ","  12,432.15 ","  12,220.00 ","  12,124.00 ","  12,201.00 ","  11,548.00 ","  11,387.00 ","  11,378.00 ","  11,369.00 ","  11,761.00 ","  11,756.50 ","  11,729.00 ","  11,710.00 ","  11,708.00 "
Bukidnon,"  12,752.00 ","  12,752.00 ","  12,720.00 ","  12,715.00 ","  12,135.00 ","  11,867.00 ","  11,452.00 ","  11,385.00 ","  11,385.00 ","  11,385.00 ","  11,385.00 ","  10,750.00 ","  10,500.00 ","  10,500.00 ","  10,500.00 ","  10,450.00 ","  10,450.00 ","  10,450.00 ","  10,450.00 ","  10,450.00 "
Camiguin,  70.50 ,  63.50 ,  62.50 ,  60.00 ,  62.50 ,  63.70 ,  61.15 ,  61.15 ,  55.00 ,  49.00 ,  46.00 ,  30.00 ,  40.00 ,  36.00 ,  34.00 ,  41.00 ,  36.50 ,  32.00 ,  31.00 ,  29.00 
Lanao del Norte,  265.00 ,  200.00 ,  200.00 ,  200.00 ,  190.00 ,  190.00 ,  188.00 ,  188.00 ,  188.00 ,  200.00 ,  283.00 ,  283.00 ,  360.00 ,  355.00 ,  355.00 ,  810.00 ,  810.00 ,  810.00 ,  802.00 ,  802.00 
Misamis Occidental,  116.00 ,  116.00 ,  116.00 ,  115.00 ,  115.00 ,  114.00 ,  114.00 ,  114.00 ,  100.00 ,  100.00 ,  97.00 ,  97.00 ,  97.00 ,  97.00 ,  90.00 ,  70.00 ,  70.00 ,  67.00 ,  37.00 ,  37.00 
Misamis Oriental,"  1,159.00 ","  1,159.00 ","  1,043.00 ",  938.00 ,  938.00 ,  760.00 ,  684.00 ,  684.00 ,  492.00 ,  390.00 ,  390.00 ,  388.00 ,  390.00 ,  390.00 ,  390.00 ,  390.00 ,  390.00 ,  370.00 ,  390.00 ,  390.00 
,,,,,,,,,,,,,,,,,,,,
Region XI (Davao Region),"  26,450.00 ","  26,494.00 ","  26,251.00 ","  26,063.00 ","  25,459.00 ","  25,109.00 ","  24,556.00 ","  24,279.00 ","  23,803.00 ","  23,009.00 ","  23,579.00 ","  23,213.00 ","  22,043.00 ","  21,875.00 ","  21,850.00 ","  20,782.00 ","  20,417.00 ","  20,160.00 ","  20,128.00 ","  20,124.00 "
Compostela Valley,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  11,495.00 ","  11,650.00 ","  11,660.00 ","  11,660.00 ","  11,543.00 ","  11,513.00 ","  10,504.00 ","  10,189.00 ","  10,039.00 ","  10,039.00 ","  10,039.00 "
Davao del Norte,"  12,280.00 ","  12,284.00 ","  12,288.00 ","  12,303.00 ","  12,312.00 ","  12,349.00 ","  12,344.00 ","  12,484.00 ","  12,484.00 ",  605.00 ,  609.00 ,  621.00 ,  625.00 ,  627.00 ,  634.00 ,  624.00 ,  612.00 ,  598.00 ,  588.00 ,  584.00 
Davao del Sur,"  7,090.00 ","  7,070.00 ","  6,825.00 ","  6,625.00 ","  6,120.00 ","  5,600.00 ","  5,120.00 ","  4,690.00 ","  4,220.00 ","  3,800.00 ","  4,203.00 ","  3,800.00 ","  2,905.00 ","  2,905.00 ","  2,905.00 ","  2,905.00 ","  2,905.00 ","  2,870.00 ","  2,856.00 ","  2,856.00 "
Davao Occidental,,,,,,,,,,,,,,,,,,,,
Davao Oriental,"  1,460.00 ","  1,501.00 ","  1,499.00 ","  1,491.00 ","  1,483.00 ","  1,470.00 ","  1,482.00 ","  1,493.00 ","  1,487.00 ","  1,497.00 ","  1,505.00 ","  1,520.00 ","  1,522.00 ","  1,522.00 ","  1,520.00 ","  1,520.00 ","  1,508.00 ","  1,503.00 ","  1,495.00 ","  1,495.00 "
City of Davao,"  5,620.00 ","  5,639.00 ","  5,639.00 ","  5,644.00 ","  5,544.00 ","  5,690.00 ","  5,610.00 ","  5,612.00 ","  5,612.00 ","  5,612.00 ","  5,612.00 ","  5,612.00 ","  5,331.00 ","  5,278.00 ","  5,278.00 ","  5,229.00 ","  5,203.00 ","  5,150.00 ","  5,150.00 ","  5,150.00 "
,,,,,,,,,,,,,,,,,,,,
Region XII (SOCCSKSARGEN),"  6,464.00 ","  7,837.00 ","  7,850.00 ","  7,888.00 ","  8,921.00 ","  8,981.00 ","  9,725.00 ","  9,803.00 ","  9,950.00 ","  12,486.00 ","  13,778.00 ","  14,277.00 ","  13,971.07 ","  13,971.07 ","  14,173.00 ","  14,330.00 ","  13,995.00 ","  14,127.00 ","  14,182.00 ","  14,505.00 "
Cotabato,  977.00 ,  982.00 ,  982.00 ,  982.00 ,  990.00 ,"  1,050.00 ","  1,400.00 ","  1,403.00 ","  1,403.00 ","  1,039.00 ","  1,926.00 ","  2,425.00 ","  2,426.12 ","  2,426.12 ","  2,545.00 ","  2,645.00 ","  2,380.00 ","  2,370.00 ","  2,360.00 ","  2,010.00 "
Sarangani,  108.00 ,  119.00 ,  131.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  230.00 ,  300.00 ,  300.00 ,  302.00 ,  302.00 ,  302.00 
Sultan Kudarat,"  4,424.00 ","  5,777.00 ","  5,777.00 ","  5,802.00 ","  6,822.00 ","  6,822.00 ","  7,211.00 ","  7,211.00 ","  7,358.00 ","  10,258.00 ","  10,668.00 ","  10,668.00 ","  10,668.00 ","  10,668.00 ","  10,665.00 ","  10,665.00 ","  10,665.00 ","  10,665.00 ","  10,665.00 ","  11,210.00 "
South Cotabato,  955.00 ,  959.00 ,  960.00 ,  960.00 ,  965.00 ,  965.00 ,  970.00 ,"  1,045.00 ","  1,045.00 ","  1,045.00 ","  1,040.00 ","  1,040.00 ",  732.95 ,  732.95 ,  733.00 ,  720.00 ,  650.00 ,  790.00 ,  855.00 ,  983.00 
,,,,,,,,,,,,,,,,,,,,
Region XIII (Caraga),"  4,764.00 ","  4,624.00 ","  4,619.00 ","  4,593.00 ","  4,571.85 ","  4,551.85 ","  3,821.82 ","  3,685.00 ","  3,686.00 ","  3,682.00 ","  4,334.00 ","  4,330.00 ","  4,380.00 ","  4,578.00 ","  4,573.00 ","  4,423.00 ","  4,120.00 ","  3,850.00 ","  3,850.00 ","  3,850.00 "
Agusan del Norte,  200.00 ,  204.00 ,  199.00 ,  203.00 ,  208.00 ,  211.00 ,  213.00 ,  215.00 ,  216.00 ,  212.00 ,  214.00 ,  214.00 ,  214.00 ,  262.00 ,  263.00 ,  263.00 ,  260.00 ,  285.00 ,  285.00 ,  285.00 
Agusan del Sur,"  1,738.00 ","  1,597.00 ","  1,597.00 ","  1,597.00 ","  1,571.85 ","  1,571.85 ",  839.82 ,  750.00 ,  750.00 ,  750.00 ,"  1,450.00 ","  1,450.00 ","  1,500.00 ","  1,650.00 ","  1,650.00 ","  1,500.00 ","  1,500.00 ","  1,455.00 ","  1,455.00 ","  1,455.00 "
Dinagat Islands,,,,,,,,,,,,,,,,,,,,
Surigao del Norte,  16.00 ,  15.00 ,  15.00 ,  13.00 ,  12.00 ,  12.00 ,  12.00 ,  20.00 ,  20.00 ,  20.00 ,  20.00 ,  16.00 ,  16.00 ,  16.00 ,  10.00 ,  10.00 ,  10.00 ,  10.00 ,  10.00 ,  10.00 
Surigao del Sur,"  2,810.00 ","  2,808.00 ","  2,808.00 ","  2,780.00 ","  2,780.00 ","  2,757.00 ","  2,757.00 ","  2,700.00 ","  2,700.00 ","  2,700.00 ","  2,650.00 ","  2,650.00 ","  2,650.00 ","  2,650.00 ","  2,650.00 ","  2,650.00 ","  2,350.00 ","  2,100.00 ","  2,100.00 ","  2,100.00 "
,,,,,,,,,,,,,,,,,,,,
Autonomous Region in Muslim Mindanao (ARMM),"  7,968.00 ","  9,381.00 ","  9,367.00 ","  9,407.00 ","  9,383.00 ","  9,416.00 ","  8,900.00 ","  9,048.00 ","  9,207.00 ","  9,546.00 ","  9,319.00 ","  9,310.49 ","  9,308.00 ","  9,325.00 ","  9,675.00 ","  9,677.00 ","  9,677.00 ","  9,800.00 ","  9,774.00 ","  9,775.00 "
Basilan,"  2,711.00 ","  2,845.00 ","  2,837.00 ","  2,783.00 ","  2,783.00 ","  2,784.00 ","  2,784.00 ","  2,818.00 ","  2,818.00 ","  3,135.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 "
Lanao del Sur,"  2,041.00 ","  2,492.00 ","  2,464.00 ","  2,416.00 ","  2,399.00 ","  2,356.00 ","  1,840.00 ","  1,954.00 ","  1,950.00 ","  1,972.00 ","  1,972.00 ","  1,972.00 ","  1,972.00 ","  1,972.00 ","  2,317.00 ","  2,317.00 ","  2,317.00 ","  2,440.00 ","  2,400.00 ","  2,400.00 "
Maguindanao,"  2,368.00 ","  3,194.00 ","  3,166.00 ","  3,285.00 ","  3,277.00 ","  3,262.00 ","  3,262.00 ","  3,262.00 ","  3,425.00 ","  3,425.00 ","  3,425.00 ","  3,416.49 ","  3,408.00 ","  3,425.00 ","  3,430.00 ","  3,432.00 ","  3,432.00 ","  3,432.00 ","  3,432.00 ","  3,433.00 "
Sulu,  848.00 ,  850.00 ,  900.00 ,  923.00 ,  924.00 ,"  1,014.00 ","  1,014.00 ","  1,014.00 ","  1,014.00 ","  1,014.00 ","  1,015.00 ","  1,015.00 ","  1,021.00 ","  1,021.00 ","  1,021.00 ","  1,021.00 ","  1,021.00 ","  1,021.00 ","  1,035.00 ","  1,035.00 "
Tawi-Tawi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,