"COFFEE ROBUSTA (DRIED BERRIES): VOLUME OF PRODUCTION IN METRIC TONS, BY REGION/PROVINCE, MINDANAO, 1990-2009",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
REGION/PROVINCE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,"  88,768.42 ","  88,259.02 ","  90,488.61 ","  87,375.55 ","  86,949.84 ","  89,849.62 ","  80,881.02 ","  82,537.04 ","  74,279.56 ","  70,830.27 ","  73,380.45 ","  78,518.04 ","  74,559.09 ","  74,283.94 ","  73,167.52 ","  75,178.92 ","  74,459.98 ","  70,127.74 ","  70,117.83 ","  69,357.11 "
,,,,,,,,,,,,,,,,,,,,
Region IX (Zamboanga Peninsula),  353.79 ,  354.28 ,  386.71 ,  383.81 ,  399.63 ,  335.60 ,  355.95 ,  392.91 ,  372.15 ,  336.37 ,  335.76 ,  362.38 ,  449.63 ,  430.75 ,  503.82 ,  510.92 ,  526.32 ,  529.23 ,  548.39 ,  558.61 
Zamboanga del Norte,  41.14 ,  53.28 ,  71.34 ,  78.88 ,  85.71 ,  97.46 ,  113.43 ,  127.48 ,  125.90 ,  133.50 ,  142.33 ,  155.59 ,  189.54 ,  191.99 ,  275.06 ,  292.03 ,  320.79 ,  352.39 ,  378.42 ,  403.72 
Zamboanga del Sur,  105.45 ,  106.66 ,  103.97 ,  106.68 ,  106.72 ,  110.63 ,  96.33 ,  107.93 ,  105.15 ,  104.87 ,  99.99 ,  103.27 ,  95.15 ,  88.98 ,  86.52 ,  84.37 ,  78.06 ,  62.73 ,  55.28 ,  42.56 
Zamboanga Sibugay,,,,,,,,,,,  33.94 ,  35.52 ,  49.23 ,  54.48 ,  58.72 ,  62.16 ,  62.57 ,  60.06 ,  61.82 ,  60.44 
City of Zamboanga,  207.20 ,  194.35 ,  211.40 ,  198.25 ,  207.20 ,  127.50 ,  146.20 ,  157.50 ,  141.10 ,  98.00 ,  59.50 ,  68.00 ,  115.71 ,  95.30 ,  83.52 ,  72.36 ,  64.91 ,  54.05 ,  52.87 ,  51.89 
,,,,,,,,,,,,,,,,,,,,
Region X (Northern Mindanao),"  6,768.29 ","  6,893.86 ","  6,479.30 ","  6,267.67 ","  5,902.25 ","  5,722.55 ","  5,597.44 ","  5,252.59 ","  5,138.56 ","  5,114.65 ","  5,092.78 ","  5,223.61 ","  5,315.49 ","  5,211.67 ","  5,176.93 ","  5,224.15 ","  5,482.79 ","  5,499.74 ","  5,435.02 ","  5,267.11 "
Bukidnon,"  5,791.27 ","  5,779.85 ","  5,466.31 ","  5,349.88 ","  5,096.70 ","  4,961.12 ","  4,764.86 ","  4,554.00 ","  4,556.16 ","  4,567.23 ","  4,571.36 ","  4,714.95 ","  4,806.75 ","  4,688.88 ","  4,680.44 ","  4,668.76 ","  4,939.20 ","  4,955.00 ","  4,875.00 ","  4,675.00 "
Camiguin,  151.44 ,  115.13 ,  110.07 ,  96.49 ,  62.98 ,  88.75 ,  185.52 ,  124.27 ,  111.44 ,  85.14 ,  57.13 ,  44.12 ,  33.49 ,  29.57 ,  27.72 ,  28.66 ,  23.43 ,  20.28 ,  18.62 ,  15.46 
Lanao del Norte,  54.11 ,  40.01 ,  39.47 ,  39.64 ,  37.97 ,  38.44 ,  75.34 ,  60.20 ,  59.14 ,  136.49 ,  137.60 ,  144.87 ,  148.67 ,  146.70 ,  146.12 ,  216.41 ,  213.31 ,  226.55 ,  224.00 ,  229.40 
Misamis Occidental,  10.30 ,  7.39 ,  7.12 ,  10.97 ,  10.97 ,  9.97 ,  9.87 ,  8.95 ,  7.69 ,  5.45 ,  6.34 ,  5.34 ,  4.16 ,  3.55 ,  3.13 ,  3.02 ,  2.92 ,  2.77 ,  2.90 ,  3.16 
Misamis Oriental,  761.18 ,  951.48 ,  856.33 ,  770.70 ,  693.62 ,  624.26 ,  561.84 ,  505.16 ,  404.13 ,  320.34 ,  320.34 ,  314.33 ,  322.43 ,  342.97 ,  319.52 ,  307.30 ,  303.93 ,  295.14 ,  314.50 ,  344.09 
,,,,,,,,,,,,,,,,,,,,
Region XI (Davao Region),"  30,274.31 ","  30,247.69 ","  29,270.64 ","  28,480.23 ","  29,119.48 ","  29,378.77 ","  27,022.94 ","  26,144.03 ","  24,917.12 ","  24,471.39 ","  25,501.02 ","  26,584.01 ","  25,017.47 ","  24,569.21 ","  22,731.22 ","  22,136.37 ","  21,818.37 ","  18,561.14 ","  18,303.21 ","  17,888.29 "
Compostela Valley,,,,,,,,,,"  11,117.13 ","  13,159.67 ","  14,373.88 ","  13,462.18 ","  13,056.48 ","  11,386.97 ","  10,703.48 ","  10,597.11 ","  9,990.29 ","  10,078.15 ","  10,121.33 "
Davao del Norte,"  11,718.27 ","  11,999.41 ","  11,997.91 ","  11,850.15 ","  12,723.66 ","  12,888.90 ","  12,570.29 ","  12,085.42 ","  11,796.03 ",  597.48 ,  662.58 ,  664.57 ,  653.09 ,  679.69 ,  683.27 ,  664.64 ,  639.98 ,  626.33 ,  611.89 ,  598.80 
Davao del Sur,"  10,031.99 ","  9,580.59 ","  9,384.57 ","  8,630.43 ","  8,345.48 ","  8,482.11 ","  6,527.05 ","  6,160.99 ","  5,279.59 ","  4,814.91 ","  3,596.55 ","  3,815.85 ","  3,369.61 ","  3,306.30 ","  3,215.73 ","  3,205.95 ","  3,086.73 ","  3,023.58 ","  2,924.68 ","  2,935.89 "
Davao Occidental,,,,,,,,,,,,,,,,,,,,
Davao Oriental,"  1,516.34 ","  1,557.30 ","  1,584.66 ","  1,546.55 ","  1,508.00 ","  1,473.37 ","  1,378.81 ","  1,297.37 ","  1,296.04 ","  1,322.96 ","  1,343.52 ","  1,378.78 ","  1,366.37 ","  1,372.74 ","  1,375.60 ","  1,378.95 ","  1,367.12 ","  1,338.40 ","  1,323.98 ","  1,294.01 "
City of Davao,"  7,007.71 ","  7,110.40 ","  6,303.50 ","  6,453.10 ","  6,542.34 ","  6,534.39 ","  6,546.79 ","  6,600.25 ","  6,545.46 ","  6,618.91 ","  6,738.70 ","  6,350.94 ","  6,166.21 ","  6,154.01 ","  6,069.65 ","  6,183.35 ","  6,127.43 ","  3,582.54 ","  3,364.51 ","  2,938.26 "
,,,,,,,,,,,,,,,,,,,,
Region XII (SOCCSKSARGEN),"  6,257.24 ","  6,810.49 ","  7,937.27 ","  7,596.67 ","  9,047.20 ","  9,774.61 ","  9,439.59 ","  11,286.10 ","  7,827.63 ","  6,839.95 ","  7,865.18 ","  8,796.73 ","  8,280.29 ","  8,657.93 ","  10,427.21 ","  14,455.47 ","  14,343.03 ","  14,595.91 ","  14,685.68 ","  15,091.39 "
Cotabato,  495.98 ,  493.33 ,  518.59 ,  544.95 ,  546.29 ,  551.28 ,  620.30 ,  738.50 ,  715.67 ,  890.00 ,  834.52 ,  889.76 ,  870.06 ,"  1,067.51 ","  1,249.29 ","  2,511.48 ","  2,134.85 ","  1,780.81 ","  1,673.44 ","  1,773.92 "
Sarangani,  104.19 ,  102.65 ,  106.35 ,  112.83 ,  85.99 ,  105.66 ,  167.58 ,  158.26 ,  211.12 ,  211.33 ,  153.70 ,  173.74 ,  172.70 ,  121.83 ,  153.40 ,  187.90 ,  205.00 ,  211.00 ,  217.00 ,  218.75 
Sultan Kudarat,"  4,295.31 ","  5,038.33 ","  5,725.37 ","  5,376.25 ","  6,850.59 ","  7,604.82 ","  6,994.46 ","  8,694.30 ","  5,409.02 ","  4,228.89 ","  5,209.39 ","  5,970.18 ","  5,970.84 ","  6,054.98 ","  7,791.33 ","  10,706.38 ","  11,113.98 ","  11,660.93 ","  11,907.61 ","  12,213.84 "
South Cotabato,"  1,361.75 ","  1,176.18 ","  1,586.95 ","  1,562.64 ","  1,564.33 ","  1,512.85 ","  1,657.25 ","  1,695.04 ","  1,491.83 ","  1,509.73 ","  1,667.58 ","  1,763.05 ","  1,266.69 ","  1,413.61 ","  1,233.19 ","  1,049.71 ",  889.20 ,  943.17 ,  887.63 ,  884.88 
,,,,,,,,,,,,,,,,,,,,
Region XIII (Caraga),"  5,487.72 ","  5,069.99 ","  4,958.66 ","  5,345.11 ","  5,102.64 ","  5,123.87 ","  4,252.28 ","  4,175.52 ","  3,823.64 ","  3,797.92 ","  3,822.79 ","  3,819.24 ","  3,849.91 ","  3,902.77 ","  3,901.35 ","  3,460.11 ","  2,744.09 ","  2,746.70 ","  2,830.46 ","  2,498.97 "
Agusan del Norte,  226.68 ,  231.68 ,  219.08 ,  231.47 ,  238.09 ,  243.59 ,  250.06 ,  258.22 ,  265.78 ,  242.32 ,  266.77 ,  269.16 ,  272.86 ,  320.58 ,  329.20 ,  305.84 ,  319.76 ,  390.00 ,  448.00 ,  199.50 
Agusan del Sur,"  1,830.19 ","  1,409.66 ","  1,312.40 ","  1,703.81 ","  1,418.49 ","  1,387.98 ",  647.12 ,  664.18 ,  353.58 ,  350.49 ,  382.61 ,  373.68 ,  383.32 ,  375.03 ,  362.65 ,  366.87 ,  352.58 ,  352.70 ,  364.41 ,  348.66 
Dinagat Islands,,,,,,,,,,,,,,,,,,,,
Surigao del Norte,  14.15 ,  11.75 ,  10.38 ,  7.45 ,  7.35 ,  6.41 ,  6.41 ,  5.13 ,  4.92 ,  5.66 ,  10.00 ,  12.90 ,  9.37 ,  5.87 ,  5.50 ,  5.40 ,  5.75 ,  11.00 ,  11.05 ,  10.25 
Surigao del Sur,"  3,416.70 ","  3,416.90 ","  3,416.80 ","  3,402.38 ","  3,438.70 ","  3,485.90 ","  3,348.70 ","  3,248.00 ","  3,199.36 ","  3,199.46 ","  3,163.42 ","  3,163.50 ","  3,184.36 ","  3,201.30 ","  3,204.00 ","  2,782.00 ","  2,066.00 ","  1,993.00 ","  2,007.00 ","  1,940.56 "
,,,,,,,,,,,,,,,,,,,,
Autonomous Region in Muslim Mindanao (ARMM),"  5,444.33 ","  6,205.31 ","  5,778.20 ","  6,190.91 ","  6,092.59 ","  6,848.81 ","  6,720.67 ","  7,252.64 ","  7,214.10 ","  7,147.58 ","  7,980.50 ","  7,456.07 ","  7,351.60 ","  7,583.03 ","  7,289.39 ","  7,641.01 ","  7,672.04 ","  7,509.07 ","  7,514.05 ","  7,406.80 "
Basilan,"  1,168.26 ","  1,311.20 ","  1,246.86 ","  1,169.64 ","  1,161.13 ","  1,129.83 ","  1,058.55 ","  1,459.86 ","  1,404.67 ","  1,441.19 ","  1,884.64 ","  1,832.29 ","  1,797.69 ","  2,161.97 ","  1,785.11 ","  1,741.56 ","  1,767.95 ","  1,782.84 ","  1,735.50 ","  1,720.25 "
Lanao del Sur,  282.04 ,  377.65 ,  352.45 ,  351.13 ,  351.85 ,  346.51 ,  240.07 ,  308.66 ,  273.35 ,  252.93 ,  209.33 ,  185.50 ,  216.84 ,  248.43 ,  280.66 ,  290.51 ,  297.50 ,  292.90 ,  277.65 ,  296.20 
Maguindanao,"  1,780.19 ","  2,307.36 ","  1,964.83 ","  2,352.23 ","  2,352.32 ","  3,152.55 ","  3,202.16 ","  3,265.53 ","  3,321.04 ","  3,241.03 ","  3,352.09 ","  2,985.60 ","  2,974.32 ","  2,785.38 ","  2,771.78 ","  3,150.00 ","  3,141.10 ","  2,884.20 ","  2,885.50 ","  2,888.00 "
Sulu,"  2,213.85 ","  2,209.10 ","  2,214.05 ","  2,317.91 ","  2,227.29 ","  2,219.91 ","  2,219.89 ","  2,218.59 ","  2,215.04 ","  2,212.42 ","  2,534.44 ","  2,452.68 ","  2,362.75 ","  2,387.24 ","  2,451.84 ","  2,458.94 ","  2,465.49 ","  2,549.13 ","  2,615.40 ","  2,502.35 "
Tawi-Tawi,,,,,,,,,,,,,,,,,,,,