,Wind_Direction,Wind_Speed_(km/h),temperature_2m (Â°C),relativehumidity_2m (%),Yield (mt/ha)
0,6,4.1,25.15,78.36,1.1334
1,8,3.1,25.06,77.99,1.135686275
2,8,3.1,25.39,77.13997328234026,1.100904523
3,8,3.6,24.92,79.6,1.140246305
4,6,3.6,24.96,79.45,1.144663462
5,8,3.1,24.98,79.8,1.154454976
6,6,3.6,24.64,82.77,1.17399061
7,6,3.1,24.79,80.12,1.201023256
8,8,5.4,25.74,77.13997328234026,1.230462963
9,8,3.6,24.5,83.77,1.143018868
10,8,3.1,24.64,82.88,1.246588785
11,6,3.1,24.81,82.09,1.257757009
12,6,3.1,24.84,80.78,1.275046729
13,6,3.6,24.88,81.12,1.223587786
14,6,3.6,25.12,79.94,1.251711027
15,6,3.1,25.09,79.33,1.162889734
16,8,3.1,25.05,80.11,1.229846154
17,8,3.6,25.05,80.21,1.368421053
18,8,3.1,24.76,81.58,1.571929825
19,6,3.6,25.08,80.8,0.7
20,8,3.6,25.23,79.66,0.576533333
21,8,3.6,24.61,84.7,0.318466667
22,8,2.8,24.98,80.77,0.203782383
23,8,4.1,24.87,82.48,0.161709845
24,6,4.1,24.7,83.36,0.178290155
25,6,3.1,24.96,80.94,0.203445596
26,8,3.6,25.72,77.51,0.216756098
27,8,3.1,24.93,83.73,0.204878049
28,6,4.1,25.29,80.11,0.195902439
29,8,3.6,25.48,77.13997328234026,0.220439024
30,8,3.6,25.59,78.31,0.306024096
31,8,1.3,25.08,82.36,0.232758065
32,6,3.6,26.53,79.11,1.053043728
33,6,8.7,26.46,78.69,0.882692549
34,6,5.9,26.8,77.13997328234026,0.821790858
35,6,6.4,26.28,80.3,1.066881653
36,6,9.2,26.35,80.07,0.902433438
37,8,5.4,26.27,80.87,0.883023189
38,8,5.9,25.93,83.44,0.770546069
39,6,5.9,26.17,80.59,0.885573333
40,8,5.4,27.07,77.13997328234026,0.47144
41,8,5.4,25.79,84.3,0.46732
42,6,8.7,25.97,83.38,0.263868966
43,6,5.4,26.17,82.57,0.257710345
44,6,5.4,26.22,81.21,0.255546667
45,6,6.9,26.22,81.68,0.227290909
46,6,5.9,26.46,80.62,0.219787879
47,6,7.9,26.4,80.35,0.24458
48,6,5.4,26.38,80.95,0.235053333
49,6,5.4,26.38,81.02,0.242405498
50,8,5.4,26.07,82.32,0.250453608
51,6,5.9,26.43,81.32,0.239628866
52,8,5.4,26.56,80.62,0.208919477
53,6,5.9,25.93,84.96,0.162374398
54,6,5.9,26.34,81.36,0.156151724
55,6,5.4,26.21,83.07,0.042958621
56,6,8.4,26.03,83.83,0.025067568
57,6,5.4,26.36,81.38,0.02646
58,6,5.4,27.02,78.84,0.020566667
59,6,3.6,26.28,84.09,0.06284
60,6,11.5,26.69,80.7,0.061173333
61,6,5.4,26.91,77.85,0.065506579
62,8,5.4,26.91,79.61,0.068203593
63,6,5.9,26.52,82.7,0.067742515
64,11,5.4,27.2,83.59,0.430933235
65,10,7.7,27.28,81.51,0.460878735
66,11,4.7,27.18,81.93,0.439499471
67,6,4.1,27.07,82.82,0.420280273
68,10,6.9,27.05,83.47,0.417222422
69,8,6.9,27.06,83.94,0.405829741
70,7,4.7,26.76,86.0,0.380226293
71,8,3.6,27.03,83.28,0.518048261
72,8,5.1,27.56,82.27,0.498463449
73,2,5.6,26.67,86.68,0.459709729
74,6,5.4,26.81,86.42,0.648310974
75,0,5.4,26.85,86.49,0.630302718
76,4,3.1,27.24,82.56,0.618400413
77,4,5.4,27.17,82.77,0.74371173
78,12,10.0,27.06,84.37,0.614072927
79,12,5.2,27.14,83.5,0.599091847
80,11,4.7,26.96,86.15,0.608169935
81,12,5.0,26.99,85.67,0.613292054
82,2,6.6,26.75,86.7,0.597007224
83,13,8.9,27.05,86.12,0.591761266
84,2,5.2,27.44,83.6,0.57619539
85,11,4.0,26.81,87.03,0.565703474
86,10,5.4,26.91,86.55,0.548558652
87,11,4.7,26.98,86.36,0.532948056
88,11,4.7,27.04,84.92,0.521499828
89,11,4.0,27.29,82.78,0.521155831
90,11,4.0,27.65,83.37,0.505675955
91,12,6.8,27.11,86.46,0.507086343
92,6,3.6,27.29,85.32,0.547027864
93,10,5.4,27.64,81.23,0.531131751
94,11,4.0,27.56,82.93,0.542844857
95,6,4.6,27.2,85.86,0.491847265
96,1,4.2,22.68166666666667,83.97,0.454146016
97,1,6.3,22.41,84.87833333333333,0.453250471
98,1,6.0,22.66333333333333,82.15333333333332,0.429741352
99,1,3.4,22.365,85.8,0.420753441
100,1,11.6,22.275,85.93166666666667,0.42
101,1,12.9,22.49,86.01666666666667,0.418060167
102,4,3.6,22.206666666666667,87.895,0.416072302
103,4,4.1,22.24,86.51166666666667,0.4
104,1,5.2,23.21166666666667,81.94166666666666,0.400189723
105,5,4.2,22.051666666666662,88.78500000000001,0.401162055
106,5,4.2,22.09166666666667,88.41000000000001,0.401524813
107,1,5.2,22.19666666666667,87.94166666666666,0.4386
108,1,6.0,22.40833333333333,85.83,0.457785714
109,4,4.6,22.426666666666662,86.555,0.44656
110,1,4.7,22.488333333333333,86.22500000000001,0.44575619
111,1,3.4,22.596666666666664,85.41666666666667,0.446771292
112,1,8.9,22.331666666666667,86.94333333333333,0.472650718
113,4,5.4,22.468333333333334,86.91166666666668,0.474162679
114,4,4.1,22.183333333333334,87.99333333333334,0.466507177
115,4,3.6,22.356666666666666,87.71,0.447368421
116,1,3.4,22.796666666666667,85.75166666666667,0.512222222
117,4,3.6,22.21,89.19333333333333,0.505
118,4,3.1,22.246666666666663,88.16833333333334,0.436666667
119,4,4.6,22.386666666666667,88.22000000000001,0.452222222
120,4,4.6,22.36,88.04333333333334,0.465222222
121,1,6.0,22.626666666666665,85.94666666666667,0.468111111
122,1,6.0,23.156666666666663,84.64999999999999,0.486333333
123,4,5.4,22.561666666666667,88.71,0.497888889
124,1,3.4,22.795,85.86500000000001,0.508644444
125,1,3.4,22.953333333333333,83.87166666666667,0.519377778
126,1,4.5,22.99833333333333,85.15166666666667,0.491751749
127,4,3.6,22.495,88.51833333333333,0.559708037
128,4,8.7,26.71,82.15,2.148085106
129,4,13.0,26.7,81.34,1.813070866
130,4,5.4,26.75,80.19,1.76112
131,4,3.1,26.72,81.52,1.608166667
132,4,10.5,26.68,81.81,1.00768
133,4,10.2,26.73,82.12,1.393249608
134,4,8.7,26.64,82.47,2.3420305563404704
135,4,12.0,26.65,81.2,2.032215863
136,4,3.6,27.25,80.32,2.026181818
137,4,3.1,26.77,81.74,1.73755102
138,4,3.1,26.89,81.52,1.241956522
139,4,10.2,26.87,81.84,1.470666667
140,4,9.7,26.72,81.64,0.83725
141,4,11.5,26.62,82.55,0.821388889
142,4,9.2,26.76,82.34,0.815294118
143,4,6.9,26.76,81.76,0.69902439
144,4,5.9,26.94,81.49,0.641917808
145,4,8.7,26.96,81.35,0.63375
146,4,5.4,26.82,81.79,0.600645161
147,4,5.9,26.91,81.77,0.533103448
148,4,10.2,27.17,81.31,0.486538462
149,4,7.4,26.74,82.77,0.4264
150,4,6.4,26.94,81.4,0.375217391
151,4,9.4,26.94,81.86,0.362222222
152,4,9.2,26.71,82.3,0.333636364
153,4,8.7,26.81,81.6,0.324705882
154,4,5.9,27.25,81.62,0.23952381
155,4,9.2,27.02,82.74,0.233658537
156,4,8.7,27.18,81.15,0.227894737
157,4,11.5,27.12,80.12,0.222222222
158,4,4.1,27.14,81.68,0.201219512
159,4,5.4,27.09,81.82,0.209095951
160,1,4.5,24.9675,81.2,0.50765609
161,1,5.2,24.8725,81.2675,0.502372709
162,0,2.5,24.9775,79.475,0.528095723
163,0,2.9,24.6275,83.2675,0.5549389
164,1,4.5,24.6025,82.83500000000001,0.551808081
165,1,4.2,24.7475,83.11749999999999,0.525028571
166,3,2.9,24.4625,84.8925,0.443071429
167,1,4.2,24.71,82.795,0.52637206
168,0,2.2,25.5725,79.1075,0.510099786
169,0,4.0,24.22,86.3075,0.856592878
170,1,3.4,24.3125,85.9275,0.433291796
171,1,3.4,24.5325,84.8825,0.36691134
172,1,4.2,24.8425,82.185,0.358621997
173,1,3.4,24.7275,83.755,0.44000709
174,11,1.8,24.9175,82.67,0.490880157
175,1,1.1,24.8775,82.645,0.949519849
176,1,3.4,24.77,83.5,0.896995798
177,0,2.5,24.835,83.5625,0.751396624
178,0,2.5,24.515,84.855,0.709084746
179,11,4.7,24.81,84.0725,0.882547264
180,0,2.5,25.1975,82.3075,0.908717277
181,1,3.4,24.4875,85.9775,0.927886792
182,1,3.4,24.5825,84.735,0.937224274
183,0,2.5,24.68,84.975,0.956205263
184,11,4.0,24.8125,84.1325,0.961378947
185,1,4.5,25.1125,81.375,0.967681388
186,0,2.2,25.7325,79.9075,0.677075676
187,1,3.4,24.8625,85.31,0.696379404
188,1,4.5,25.2425,82.0475,0.652443385
189,1,5.2,25.395,79.9925,0.628006897
190,0,1.8,25.4325,81.75,0.608233333
191,0,2.9,24.9,84.7975,0.564780952
192,11,4.0,24.1,83.87,1.246923488
193,1,3.4,23.87,84.63,1.26093279
194,0,4.0,24.15,81.77,1.117840043
195,0,4.0,23.77,85.54,1.143355776
196,11,4.0,23.84,85.09,1.180075758
197,1,3.4,23.82,85.87,1.148398946
198,3,2.2,23.74,86.61,1.16698574
199,1,4.2,23.77,85.33,1.176095866
200,0,4.0,24.6,81.83,1.166332858
201,0,4.0,23.6,87.39,1.179420884
202,11,4.0,23.61,87.64,1.200766215
203,11,4.0,23.85,86.55,1.131671418
204,11,4.0,23.94,84.88,1.156670418
205,11,4.0,23.9,86.04,1.165973854
206,11,4.0,24.14,84.56,1.149990527
207,11,4.7,24.1,84.45,1.182510996
208,11,4.7,24.01,85.29,1.177672497
209,0,4.0,24.01,85.63,0.695638835
210,0,4.0,23.74,86.78,0.653302913
211,11,4.7,24.03,86.23,0.570535922
212,0,4.0,24.27,84.59,0.564204916
213,11,4.0,23.78,87.57,0.537573755
214,11,4.7,23.86,86.73,0.494150142
215,0,4.0,23.95,86.72,0.480805676
216,11,4.0,24.05,85.91,0.468476901
217,4,3.6,24.14,84.66,0.552232981
218,0,2.9,24.7,83.29,0.540132042
219,11,4.0,24.15,86.96,0.598588448
220,11,4.7,24.43,84.41,0.578241877
221,4,4.1,24.32,83.9,0.571109091
222,0,4.0,24.37,84.56,0.59208
223,0,4.0,24.06,86.79,0.615610909
224,1,3.4,22.04,90.19,0.967127447
225,1,3.4,22.16,89.62,1.129585408
226,4,3.6,22.38,88.46,1.232751286
227,4,3.6,22.4,87.3,1.154560892
228,4,3.1,22.36,88.16,1.131116694
229,4,3.1,22.59,86.9,0.989053244
230,4,5.4,22.39,88.14,1.018990861
231,4,3.1,22.46,87.82,1.04005398
232,4,3.6,22.43,88.52,0.995147923
233,1,3.4,22.17,89.58,1.003899791
234,11,2.2,22.63,87.47,1.008201016
235,4,4.1,22.48,89.18,0.997648756
236,4,3.6,22.3,89.71,0.851908
237,4,3.6,22.42,88.45,0.75298794
238,4,5.9,22.44,88.99,0.25075591
239,4,4.1,22.48,88.48,0.184055571
240,4,4.6,22.52,87.42,0.272510965
241,4,4.1,22.9,87.58,0.273726847
242,4,3.1,22.57,89.83,0.262548054
243,4,3.1,22.9,86.52,0.272135331
244,4,4.1,22.74,86.5,0.273235776
245,4,3.1,22.81,88.47,0.267707797
246,4,3.1,22.73,88.89,0.236918754
247,3,10.1,26.15,81.91,0.954256515
248,3,10.5,26.03,81.87,0.976832465
249,3,4.0,26.47,78.1,0.976392415
250,3,4.7,25.94,82.47,0.963191904
251,3,8.0,25.99,82.45,1.033435673
252,3,9.4,25.89,83.29,1.043720139
253,0,4.0,25.77,84.18,1.018331983
254,3,7.6,26.01,81.72,0.968072733
255,3,7.6,26.86,78.13,0.944891862
256,3,4.0,25.5,85.5,0.987570248
257,3,4.0,25.61,85.37,1.087980296
258,3,7.6,26.06,83.02,1.070161031
259,3,10.1,25.95,82.97,1.044944
260,3,4.0,25.91,83.44,1.084035088
261,3,6.5,26.36,81.11,1.077712934
262,3,4.0,26.38,80.26,1.065128205
263,3,8.0,26.09,83.05,1.045718954
264,3,8.0,26.15,82.5,1.047374582
265,3,4.0,25.8,84.03,1.040629252
266,3,4.0,26.15,83.05,1.025342466
267,3,8.0,26.32,82.03,1.036310345
268,3,7.6,25.78,85.07,1.040221843
269,3,9.4,25.98,83.7,1.038172589
270,3,7.6,26.04,83.77,1.008595318
271,3,4.0,26.03,83.74,0.961792453
272,3,7.6,26.28,81.67,0.96681182
273,3,5.8,26.74,81.01,0.965489614
274,3,7.6,26.15,84.37,0.962172662
275,3,7.6,26.78,80.03,0.962660944
276,3,10.1,26.73,79.03,0.997922498
277,3,4.0,26.6,81.02,0.979304348
278,3,4.0,26.27,83.34,0.949237537
279,11,4.0,25.755000000000003,82.1575,1.414949224
280,1,3.4,25.6225,82.335,1.355104668
281,0,4.0,25.7875,80.29249999999999,1.375028571
282,0,4.0,25.335,84.42750000000001,1.302706415
283,11,4.0,25.365,83.8125,1.363640523
284,0,4.0,25.525,83.5975,1.5146625
285,3,1.8,25.085,86.3525,1.274814453
286,0,4.0,25.3475,84.3475,1.313643923
287,0,4.0,26.1425,80.7925,1.251087678
288,0,4.0,24.86,87.4675,1.267081579
289,0,4.0,24.9425,87.195,0.855710207
290,11,4.0,25.175,86.3375,1.004171053
291,0,4.0,25.58,83.195,1.159934596
292,11,4.0,25.3775,85.08,1.138141136
293,11,5.8,25.62,83.9325,1.106963855
294,0,4.0,25.6075,83.47,1.103597246
295,0,4.0,25.4325,84.8725,1.062557659
296,0,4.0,25.4675,84.96000000000001,1.053512195
297,0,4.0,25.11,86.4125,1.024047619
298,11,4.0,25.4625,85.6725,1.027972689
299,0,4.0,25.88,83.345,0.932860644
300,11,4.0,25.0875,87.565,0.939996499
301,0,4.0,25.235,86.195,0.944541317
302,0,4.0,25.34,86.225,0.94804972
303,11,4.0,25.48,85.63,0.977689917
304,0,4.0,25.93,82.11500000000001,1.010348757
305,0,4.0,26.49,80.895,0.983812155
306,0,4.0,25.4925,86.78750000000001,0.943639503
307,0,4.0,25.995,83.48,0.964867012
308,0,4.0,26.1625,81.37,0.959101393
309,0,4.0,26.08,83.285,1.078835578
310,0,1.8,25.58,86.3775,1.150386933
311,5,14.2,26.51,83.42,1.038589041
312,5,11.4,26.32,83.5,1.037508328
313,5,10.0,26.42,81.93,1.057144763
314,5,9.7,26.17,84.54,1.037256875
315,5,10.0,26.41,83.64,1.016857721
316,5,10.0,26.38,83.71,1.002292517
317,1,10.0,26.25,85.16,0.93037112
318,5,10.0,26.17,84.22,0.86896852
319,5,10.0,26.85,80.89,0.871580363
320,5,8.4,26.2,85.0,0.883740815
321,5,10.0,26.27,84.85,0.892704319
322,5,10.0,26.44,84.36,0.907092105
323,5,10.0,26.47,83.36,0.897746386
324,5,10.0,26.32,84.67,0.901931669
325,5,9.7,26.48,84.44,0.905
326,5,10.0,26.49,83.37,0.907203947
327,5,10.0,26.54,83.59,0.906578249
328,5,10.5,26.5,83.81,0.890485695
329,5,10.0,26.28,84.34,0.885605351
330,5,10.0,26.64,84.21,0.865558528
331,5,10.0,26.74,82.68,0.853712375
332,5,10.0,26.36,85.08,0.841508043
333,5,10.8,26.52,83.82,0.822086428
334,5,7.6,26.57,84.12,1.021817399
335,5,10.0,26.46,85.0,0.97032967
336,5,12.1,26.49,83.5,0.949628064
337,5,9.7,27.04,82.1,0.942782019
338,5,8.9,26.64,84.87,0.916444264
339,5,10.0,26.88,83.41,0.916043867
340,5,13.4,26.67,83.13,0.897887896
341,5,10.7,26.86,82.64,0.880299838
342,5,10.5,26.69,84.49,0.861685575
343,8,3.6,23.38,86.59,0.204188679
344,8,3.1,23.31,86.76,0.20005
345,8,3.6,23.3,85.59,0.19735
346,8,3.6,23.18,87.63,0.1982
347,8,3.1,23.22,87.27,0.199842105
348,8,3.1,23.27,88.43,0.202315789
349,6,3.1,23.16,88.59,0.400744681
350,8,3.1,23.19,87.01,0.320212766
351,8,3.6,23.88,85.54,0.314574468
352,8,4.1,23.1,88.62,0.68245
353,8,3.6,23.24,88.09,0.486219081
354,8,3.1,23.3,87.75,0.511908127
355,8,4.1,23.25,87.35,0.412972222
356,8,3.6,23.22,88.16,0.413239437
357,8,3.6,23.35,87.36,0.411605634
358,8,3.1,23.27,87.73,0.26717284
359,8,3.6,23.39,87.32,0.263345679
360,8,4.1,23.42,87.75,0.279691358
361,8,3.6,23.24,88.12,0.279301746
362,8,4.1,23.42,87.2,0.286034913
363,8,3.6,23.63,88.07,0.278802993
364,8,3.1,23.3,88.56,0.26605985
365,8,3.6,23.44,87.48,0.251870324
366,8,3.6,23.45,88.13,0.243092269
367,8,3.1,23.27,88.15,0.252098765
368,8,3.1,23.5,86.54,0.248404908
369,8,3.6,23.92,86.61,0.262058824
370,8,3.1,23.57,88.68,0.274352941
371,8,3.1,23.65,86.81,0.27239229
372,8,3.6,23.71,85.39,0.291661017
373,8,3.1,23.8,88.07,0.303370787
374,8,3.1,23.7,87.9,0.314662921
375,11,2.5,24.53,85.91,0.138187163
376,11,4.0,24.4,86.03,0.151544944
377,11,4.0,24.38,85.85,0.143039773
378,11,2.2,24.31,86.44,0.145335265
