,Wind_Direction,Wind_Speed_(km/h),rain (mm),weathercode (wmo code),Yield (mt/ha)
0,6,4.1,1701.0,1,1.1334
1,8,3.1,1634.2,1,1.135686275
2,8,3.1,1433.2,1,1.100904523
3,8,3.6,2017.8,1,1.140246305
4,6,3.6,1722.0,1,1.144663462
5,8,3.1,2191.8,1,1.154454976
6,6,3.6,2787.9,51,1.17399061
7,6,3.1,1906.2,1,1.201023256
8,8,5.4,1531.9,1,1.230462963
9,8,3.6,2871.6,1,1.143018868
10,8,3.1,2651.3,1,1.246588785
11,6,3.1,2353.3,1,1.257757009
12,6,3.1,1854.5,1,1.275046729
13,6,3.6,2220.0,1,1.223587786
14,6,3.6,1440.0,1,1.251711027
15,6,3.1,2242.4,1,1.162889734
16,8,3.1,1902.5,1,1.229846154
17,8,3.6,2381.2,1,1.368421053
18,8,3.1,2576.3,1,1.571929825
19,6,3.6,2754.4,1,0.7
20,8,3.6,2014.1,1,0.576533333
21,8,3.6,3301.3,1,0.318466667
22,8,2.8,2306.0,1,0.203782383
23,8,4.1,2731.4,1,0.161709845
24,6,4.1,3327.8,1,0.178290155
25,6,3.1,2182.3,1,0.203445596
26,8,3.6,2022.5,1,0.216756098
27,8,3.1,2796.8,1,0.204878049
28,6,4.1,1979.2,1,0.195902439
29,8,3.6,1633.5,1,0.220439024
30,8,3.6,2079.5,1,0.306024096
31,8,1.3,3150.3,1,0.232758065
32,6,3.6,1511.4,1,1.053043728
33,6,8.7,1408.8,1,0.882692549
34,6,5.9,1112.4,1,0.821790858
35,6,6.4,1800.5,1,1.066881653
36,6,9.2,1733.0,1,0.902433438
37,8,5.4,2214.0,1,0.883023189
38,8,5.9,2927.0,51,0.770546069
39,6,5.9,1632.4,1,0.885573333
40,8,5.4,1616.1,1,0.47144
41,8,5.4,2877.2,1,0.46732
42,6,8.7,2590.4,1,0.263868966
43,6,5.4,2292.5,1,0.257710345
44,6,5.4,1763.8,1,0.255546667
45,6,6.9,2098.9,1,0.227290909
46,6,5.9,1555.1,1,0.219787879
47,6,7.9,2320.3,1,0.24458
48,6,5.4,1838.1,1,0.235053333
49,6,5.4,2097.4,1,0.242405498
50,8,5.4,2497.6,1,0.250453608
51,6,5.9,2562.9,1,0.239628866
52,8,5.4,2113.6,1,0.208919477
53,6,5.9,3106.6,1,0.162374398
54,6,5.9,1905.1,1,0.156151724
55,6,5.4,2642.8,1,0.042958621
56,6,8.4,3749.3,1,0.025067568
57,6,5.4,2184.5,1,0.02646
58,6,5.4,1840.9,1,0.020566667
59,6,3.6,2859.4,1,0.06284
60,6,11.5,2006.4,1,0.061173333
61,6,5.4,1509.9,1,0.065506579
62,8,5.4,1937.2,1,0.068203593
63,6,5.9,3130.5,1,0.067742515
64,11,5.4,1579.6,1,0.430933235
65,10,7.7,1087.6,1,0.460878735
66,11,4.7,1383.2,1,0.439499471
67,6,4.1,1543.4,1,0.420280273
68,10,6.9,1625.2,1,0.417222422
69,8,6.9,1911.2,1,0.405829741
70,7,4.7,2246.6,51,0.380226293
71,8,3.6,1263.4,1,0.518048261
72,8,5.1,1911.8,1,0.498463449
73,2,5.6,2541.1,51,0.459709729
74,6,5.4,2220.6,51,0.648310974
75,0,5.4,2186.2,1,0.630302718
76,4,3.1,1200.3,1,0.618400413
77,4,5.4,1511.0,1,0.74371173
78,12,10.0,1395.2,1,0.614072927
79,12,5.2,1895.5,1,0.599091847
80,11,4.7,1742.1,1,0.608169935
81,12,5.0,2104.5,1,0.613292054
82,2,6.6,2524.3,51,0.597007224
83,13,8.9,1843.9,1,0.591761266
84,2,5.2,2304.5,1,0.57619539
85,11,4.0,2729.4,1,0.565703474
86,10,5.4,2281.3,1,0.548558652
87,11,4.7,2640.8,1,0.532948056
88,11,4.7,1821.7,1,0.521499828
89,11,4.0,1403.7,1,0.521155831
90,11,4.0,2076.4,1,0.505675955
91,12,6.8,2674.1,1,0.507086343
92,6,3.6,1718.6,1,0.547027864
93,10,5.4,1383.1,1,0.531131751
94,11,4.0,2371.8,1,0.542844857
95,6,4.6,2373.4,1,0.491847265
96,1,4.2,1983.5333333333333,1,0.454146016
97,1,6.3,1659.7,1,0.453250471
98,1,6.0,1837.1,1,0.429741352
99,1,3.4,2154.8166666666666,1,0.420753441
100,1,11.6,1988.6666666666667,1,0.42
101,1,12.9,2656.866666666667,1,0.418060167
102,4,3.6,2741.4500000000003,51,0.416072302
103,4,4.1,2164.9500000000003,1,0.4
104,1,5.2,2128.05,1,0.400189723
105,5,4.2,3413.65,2,0.401162055
106,5,4.2,2844.133333333333,1,0.401524813
107,1,5.2,2307.7166666666667,1,0.4386
108,1,6.0,1938.8,1,0.457785714
109,4,4.6,2467.583333333333,2,0.44656
110,1,4.7,1925.483333333333,1,0.44575619
111,1,3.4,2299.6833333333334,2,0.446771292
112,1,8.9,2230.2166666666667,1,0.472650718
113,4,5.4,2446.9666666666667,1,0.474162679
114,4,4.1,2920.05,1,0.466507177
115,4,3.6,2846.4,1,0.447368421
116,1,3.4,2357.7000000000003,1,0.512222222
117,4,3.6,3213.816666666667,2,0.505
118,4,3.1,2759.816666666667,1,0.436666667
119,4,4.6,3050.75,2,0.452222222
120,4,4.6,2865.8833333333337,1,0.465222222
121,1,6.0,2193.4666666666667,1,0.468111111
122,1,6.0,2369.516666666667,1,0.486333333
123,4,5.4,3487.183333333333,51,0.497888889
124,1,3.4,2082.9,1,0.508644444
125,1,3.4,2022.3,1,0.519377778
126,1,4.5,2635.0666666666666,1,0.491751749
127,4,3.6,3383.65,1,0.559708037
128,4,8.7,1766.9,1,2.148085106
129,4,13.0,1566.8,1,1.813070866
130,4,5.4,1516.6,1,1.76112
131,4,3.1,2320.8,1,1.608166667
132,4,10.5,1964.8,1,1.00768
133,4,10.2,2769.8,1,1.393249608
134,4,8.7,3346.6,51,2.3420305563404704
135,4,12.0,1891.3,1,2.032215863
136,4,3.6,2257.7,1,2.026181818
137,4,3.1,3894.3,1,1.73755102
138,4,3.1,3260.7,1,1.241956522
139,4,10.2,2631.1,1,1.470666667
140,4,9.7,1913.1,1,0.83725
141,4,11.5,2519.2,1,0.821388889
142,4,9.2,2125.3,1,0.815294118
143,4,6.9,2716.7,1,0.69902439
144,4,5.9,2189.6,1,0.641917808
145,4,8.7,2898.3,1,0.63375
146,4,5.4,3382.7,1,0.600645161
147,4,5.9,2987.1,1,0.533103448
148,4,10.2,3265.0,1,0.486538462
149,4,7.4,3346.7,1,0.4264
150,4,6.4,2335.9,1,0.375217391
151,4,9.4,3349.1,1,0.362222222
152,4,9.2,3605.5,1,0.333636364
153,4,8.7,2325.2,1,0.324705882
154,4,5.9,2456.9,1,0.23952381
155,4,9.2,3601.3,1,0.233658537
156,4,8.7,2129.3,1,0.227894737
157,4,11.5,1909.2,1,0.222222222
158,4,4.1,3292.0,1,0.201219512
159,4,5.4,3979.0,1,0.209095951
160,1,4.5,2079.575,1,0.50765609
161,1,5.2,1890.15,1,0.502372709
162,0,2.5,1787.6,1,0.528095723
163,0,2.9,2445.9,1,0.5549389
164,1,4.5,2141.475,1,0.551808081
165,1,4.2,2749.8,1,0.525028571
166,3,2.9,3103.225,51,0.443071429
167,1,4.2,2383.275,1,0.52637206
168,0,2.2,2307.1,1,0.510099786
169,0,4.0,3615.025,51,0.856592878
170,1,3.4,3181.625,51,0.433291796
171,1,3.4,2598.625,1,0.36691134
172,1,4.2,2047.9,1,0.358621997
173,1,3.4,2738.9750000000004,1,0.44000709
174,11,1.8,2149.125,1,0.490880157
175,1,1.1,2537.1,1,0.949519849
176,1,3.4,2451.95,1,0.896995798
177,0,2.5,2892.2250000000004,1,0.751396624
178,0,2.5,3202.9,1,0.709084746
179,11,4.7,2925.625,1,0.882547264
180,0,2.5,2739.45,1,0.908717277
181,1,3.4,3461.4,51,0.927886792
182,1,3.4,3022.325,1,0.937224274
183,0,2.5,3365.05,51,0.956205263
184,11,4.0,2980.925,1,0.961378947
185,1,4.5,2294.75,1,0.967681388
186,0,2.2,2663.9,1,0.677075676
187,1,3.4,3799.125,51,0.696379404
188,1,4.5,2284.5,1,0.652443385
189,1,5.2,2103.05,1,0.628006897
190,0,1.8,2844.675,1,0.608233333
191,0,2.9,3661.05,1,0.564780952
192,11,4.0,2278.1,1,1.246923488
193,1,3.4,2022.5,1,1.26093279
194,0,4.0,1897.5,1,1.117840043
195,0,4.0,2742.9,1,1.143355776
196,11,4.0,2157.4,1,1.180075758
197,1,3.4,2909.4,1,1.148398946
198,3,2.2,3161.1,51,1.16698574
199,1,4.2,2693.6,1,1.176095866
200,0,4.0,2360.2,1,1.166332858
201,0,4.0,3532.1,51,1.179420884
202,11,4.0,3212.9,1,1.200766215
203,11,4.0,2644.6,1,1.131671418
204,11,4.0,2177.0,1,1.156670418
205,11,4.0,2934.8,1,1.165973854
206,11,4.0,2325.8,1,1.149990527
207,11,4.7,2636.5,1,1.182510996
208,11,4.7,2581.8,1,1.177672497
209,0,4.0,3111.8,1,0.695638835
210,0,4.0,3201.2,1,0.653302913
211,11,4.7,3078.8,1,0.570535922
212,0,4.0,2642.7,1,0.564204916
213,11,4.0,3670.9,51,0.537573755
214,11,4.7,2984.3,1,0.494150142
215,0,4.0,3324.4,1,0.480805676
216,11,4.0,3261.6,1,0.468476901
217,4,3.6,2380.7,1,0.552232981
218,0,2.9,2735.1,1,0.540132042
219,11,4.0,4017.7,51,0.598588448
220,11,4.7,2511.0,1,0.578241877
221,4,4.1,2417.2,1,0.571109091
222,0,4.0,2884.0,1,0.59208
223,0,4.0,3859.9,1,0.615610909
224,1,3.4,5371.479824274001,3,0.967127447
225,1,3.4,5032.3,3,1.129585408
226,4,3.6,4600.5,3,1.232751286
227,4,3.6,3966.7,3,1.154560892
228,4,3.1,4773.4,3,1.131116694
229,4,3.1,3528.2,3,0.989053244
230,4,5.4,4399.6,3,1.018990861
231,4,3.1,4133.2,3,1.04005398
232,4,3.6,4793.2,3,0.995147923
233,1,3.4,4958.2,3,1.003899791
234,11,2.2,4851.1,3,1.008201016
235,4,4.1,4204.9,3,0.997648756
236,4,3.6,5371.479824274001,3,0.851908
237,4,3.6,4941.6,3,0.75298794
238,4,5.9,5124.1,3,0.25075591
239,4,4.1,5371.479824274001,3,0.184055571
240,4,4.6,4017.2,3,0.272510965
241,4,4.1,4120.5,3,0.273726847
242,4,3.1,5371.479824274001,3,0.262548054
243,4,3.1,3746.8,3,0.272135331
244,4,4.1,3834.8,3,0.273235776
245,4,3.1,4430.7,3,0.267707797
246,4,3.1,5318.8,3,0.236918754
247,3,10.1,833.0,1,0.954256515
248,3,10.5,845.4,1,0.976832465
249,3,4.0,954.1,1,0.976392415
250,3,4.7,1056.9,1,0.963191904
251,3,8.0,1008.3,1,1.033435673
252,3,9.4,1225.7,1,1.043720139
253,0,4.0,1743.9,1,1.018331983
254,3,7.6,1165.3,1,0.968072733
255,3,7.6,1212.5,1,0.944891862
256,3,4.0,2133.9,1,0.987570248
257,3,4.0,1683.6,1,1.087980296
258,3,7.6,1185.9,1,1.070161031
259,3,10.1,972.5,1,1.044944
260,3,4.0,1159.0,1,1.084035088
261,3,6.5,884.5,1,1.077712934
262,3,4.0,1239.4,1,1.065128205
263,3,8.0,1191.0,1,1.045718954
264,3,8.0,1374.7,1,1.047374582
265,3,4.0,1592.7,1,1.040629252
266,3,4.0,1588.4,1,1.025342466
267,3,8.0,1483.5,1,1.036310345
268,3,7.6,1752.2,1,1.040221843
269,3,9.4,1374.3,1,1.038172589
270,3,7.6,1835.2,1,1.008595318
271,3,4.0,1703.9,1,0.961792453
272,3,7.6,1541.7,1,0.96681182
273,3,5.8,1197.9,1,0.965489614
274,3,7.6,2100.7,1,0.962172662
275,3,7.6,970.4,1,0.962660944
276,3,10.1,1311.4,1,0.997922498
277,3,4.0,1354.6,1,0.979304348
278,3,4.0,1899.8,1,0.949237537
279,11,4.0,1935.7,1,1.414949224
280,1,3.4,1721.8,1,1.355104668
281,0,4.0,1807.75,1,1.375028571
282,0,4.0,2295.25,1,1.302706415
283,11,4.0,2041.65,1,1.363640523
284,0,4.0,2560.4,1,1.5146625
285,3,1.8,3052.4,51,1.274814453
286,0,4.0,2228.4,1,1.313643923
287,0,4.0,2161.4,1,1.251087678
288,0,4.0,3590.2000000000003,1,1.267081579
289,0,4.0,3091.75,1,0.855710207
290,11,4.0,2535.85,1,1.004171053
291,0,4.0,1933.55,1,1.159934596
292,11,4.0,2624.45,1,1.138141136
293,11,5.8,2029.55,1,1.106963855
294,0,4.0,2401.4,1,1.103597246
295,0,4.0,2362.05,1,1.062557659
296,0,4.0,2761.3,1,1.053512195
297,0,4.0,3121.25,1,1.024047619
298,11,4.0,2553.0,1,1.027972689
299,0,4.0,2504.25,1,0.932860644
300,11,4.0,3512.1000000000004,2,0.939996499
301,0,4.0,2841.6000000000004,1,0.944541317
302,0,4.0,3226.35,1,0.94804972
303,11,4.0,2816.95,1,0.977689917
304,0,4.0,2077.35,1,1.010348757
305,0,4.0,2507.0,1,0.983812155
306,0,4.0,3513.7,1,0.943639503
307,0,4.0,2318.9,1,0.964867012
308,0,4.0,1989.9,1,0.959101393
309,0,4.0,2667.7,1,1.078835578
310,0,1.8,3336.3500000000004,1,1.150386933
311,5,14.2,2101.5,1,1.038589041
312,5,11.4,1907.4,1,1.037508328
313,5,10.0,1910.6,1,1.057144763
314,5,9.7,2100.4,1,1.037256875
315,5,10.0,2266.7,1,1.016857721
316,5,10.0,2156.9,1,1.002292517
317,1,10.0,2769.0,51,0.93037112
318,5,10.0,2182.5,1,0.86896852
319,5,10.0,1726.3,1,0.871580363
320,5,8.4,2779.8,1,0.883740815
321,5,10.0,2878.6,1,0.892704319
322,5,10.0,2874.0,1,0.907092105
323,5,10.0,2286.7,1,0.897746386
324,5,10.0,2653.7,1,0.901931669
325,5,9.7,1801.1,1,0.905
326,5,10.0,2481.0,1,0.907203947
327,5,10.0,2549.6,1,0.906578249
328,5,10.5,2670.8,1,0.890485695
329,5,10.0,2362.4,1,0.885605351
330,5,10.0,3221.6,1,0.865558528
331,5,10.0,1836.1,1,0.853712375
332,5,10.0,3106.1,1,0.841508043
333,5,10.8,2658.5,1,0.822086428
334,5,7.6,2964.9,1,1.021817399
335,5,10.0,3310.6,1,0.97032967
336,5,12.1,2356.8,1,0.949628064
337,5,9.7,2325.3,1,0.942782019
338,5,8.9,3171.4,51,0.916444264
339,5,10.0,2317.8,1,0.916043867
340,5,13.4,2088.6,1,0.897887896
341,5,10.7,2061.3,1,0.880299838
342,5,10.5,2711.4,1,0.861685575
343,8,3.6,2113.6,1,0.204188679
344,8,3.1,2098.1,1,0.20005
345,8,3.6,1904.7,1,0.19735
346,8,3.6,2755.6,1,0.1982
347,8,3.1,2347.5,1,0.199842105
348,8,3.1,3700.7,1,0.202315789
349,6,3.1,4125.9,1,0.400744681
350,8,3.1,2489.3,1,0.320212766
351,8,3.6,3056.2,1,0.314574468
352,8,4.1,4945.2,1,0.68245
353,8,3.6,4134.7,1,0.486219081
354,8,3.1,3049.7,1,0.511908127
355,8,4.1,2213.8,1,0.412972222
356,8,3.6,2891.0,1,0.413239437
357,8,3.6,2464.7,1,0.411605634
358,8,3.1,3303.9,1,0.26717284
359,8,3.6,2703.9,1,0.263345679
360,8,4.1,3627.6,1,0.279691358
361,8,3.6,4283.9,1,0.279301746
362,8,4.1,3375.7,1,0.286034913
363,8,3.6,4177.9,1,0.278802993
364,8,3.1,4168.1,1,0.26605985
365,8,3.6,3181.5,1,0.251870324
366,8,3.6,4012.4,1,0.243092269
367,8,3.1,3621.0,1,0.252098765
368,8,3.1,2672.7,1,0.248404908
369,8,3.6,2934.8,1,0.262058824
370,8,3.1,4287.3,1,0.274352941
371,8,3.1,2501.6,1,0.27239229
372,8,3.6,2296.7,1,0.291661017
373,8,3.1,4222.2,1,0.303370787
374,8,3.1,4756.6,1,0.314662921
375,11,2.5,3138.8,1,0.138187163
376,11,4.0,2887.4,1,0.151544944
377,11,4.0,2824.1,1,0.143039773
